text,label
"DRIVING LICENCE
1. HAMILTON
2. PATRICIA
3. 02.11.1910 ENGLAND
4. 93-9059 3 Wheeler Only DVLA
5. HAMILTON ENG 47
6. Patricia
7. Unit 6777 Box 8098, DPO AA 09712
8. 3 WHEELER ONLY",drivers_licence
"NEW MEXICO DRIVER LICENSE
Name: Colleen Lin
DOB: 06/23/1992
License #: Wc978009
Class: Motorcycle
Issued by: Motor Vehicle Division (MVD)
Address: 173 Shannon Dale, Port Danielleview, MA 02837",drivers_licence
"Bank Santos PLC
Customer Support: +1-351-245-5297x6276
http://lynch.net/
Account Holder: Kathleen Johnson
Account Number: XXXX-XXXX-XXXX-8330
Statement Period: 1916-4

Date       Description              Debit ($)   Credit ($)
25/04/1916  ACH Payment              639.86      
01/04/1916  Direct Deposit                       697.25
24/04/1916  POS Purchase             437.85      
21/04/1916  Direct Deposit                       171.90
22/04/1916  Loan Repayment           291.45      
18/04/1916  Online Transfer          541.22      
01/04/1916  ACH Payment              147.85      
28/04/1916  Online Transfer          230.26      
05/04/1916  ACH Payment              297.48      
23/04/1916  Loan Repayment           157.72      
28/04/1916  Loan Repayment           125.31      
09/04/1916  Direct Deposit                       357.43
03/04/1916  Direct Deposit                       568.26
24/04/1916  Check Deposit                        76.01
19/04/1916  Check Deposit                        56.30
15/04/1916  Check Deposit                        142.67
16/04/1916  Loan Repayment           77.37       
23/04/1916  Check Deposit                        364.99
19/04/1916  POS Purchase             35.94       
02/04/1916  Check Deposit                        29.02",bank_statement
"Cruz and Sons INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 8142
Billed To: Justin Lopez (Martin and Sons)
DESCRIPTION QTY UNIT PRICE TOTAL
Website Mockup            10    $960337.00   $9603370.00
Brand Guidelines PDF      98    $479270.00   $46968460.00
Social Media Banners      13    $997811.00   $12971543.00
Subtotal: $69543373.00
Tax (5%): $3477168.65
TOTAL: $73020541.65
Payment Info:
Bank Account: XCPU83243463331904
Email: obrienchristine@murphy-mcintyre.biz
Phone: +1-852-368-6940x64984
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. HODGES
2. JOHN
3. 23.01.1997 ENGLAND
4. 93-6778 3 Wheeler Only DVLA
5. HODGES ENG 58
6. John
7. 4821 Perez Views, East Aaronhaven, CT 59972
8. 3 WHEELER ONLY",drivers_licence
"CONNECTICUT DRIVER LICENSE
Name: Debra Pacheco
DOB: 09/18/1925
License #: AO041598
Class: Commercial Vehicle
Issued by: Department of Motor Vehicles (DMV)
Address: Unit 3028 Box 3232, DPO AP 47746",drivers_licence
"Bank Wilkins-Frazier
Customer Support: 441-517-1737x56291
http://www.maddox.biz/
Account Holder: Heidi Warren
Account Number: XXXX-XXXX-XXXX-9002
Statement Period: 2003-5

Date       Description              Debit ($)   Credit ($)
24/05/2003  Debit Card Purchase      542.72      
24/05/2003  Online Transfer          263.89      
03/05/2003  Check Deposit                        209.13
26/05/2003  Debit Card Purchase      122.48      
16/05/2003  Loan Repayment           211.30      
28/05/2003  ACH Payment              244.09      
12/05/2003  Direct Deposit                       377.83
05/05/2003  POS Purchase             508.43      
25/05/2003  POS Purchase             354.69      
22/05/2003  Online Transfer          173.26      
05/05/2003  Check Deposit                        36.86
16/05/2003  Debit Card Purchase      299.42      
23/05/2003  ACH Payment              373.13      
20/05/2003  Direct Deposit                       533.42
09/05/2003  Online Transfer          300.70      
13/05/2003  Check Deposit                        292.00
19/05/2003  Check Deposit                        144.87
19/05/2003  Online Transfer          302.50      
27/05/2003  Loan Repayment           653.62      
23/05/2003  Check Deposit                        73.84",bank_statement
"Gilmore Ltd INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 2538
Billed To: Russell Delgado (Lopez Inc)
DESCRIPTION QTY UNIT PRICE TOTAL
Brand Guidelines PDF      83    $269444.00   $22363852.00
Website Mockup            4     $62321.00    $249284.00
Business Card Design      68    $568797.00   $38678196.00
Social Media Banners      34    $485758.00   $16515772.00
Subtotal: $77807104.00
Tax (5%): $3890355.20
TOTAL: $81697459.20
Payment Info:
Bank Account: FMRE09997876568801
Email: davidwarner@hoffman.com
Phone: 966-831-9898
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. FIELDS
2. RICHARD
3. 07.05.2012 ENGLAND
4. 34-1627 Car DVLA
5. FIELDS ENG 65
6. Richard
7. 057 Anthony Parks, Burnettland, MH 41752
8. CAR",drivers_licence
"NEW HAMPSHIRE DRIVER LICENSE
Name: Robert Olson
DOB: 01/20/1977
License #: Vr338079
Class: Car
Issued by: Division of Motor Vehicles (DMV)
Address: 14898 Joel Islands Apt. 374, South Kimberlyborough, CO 21931",drivers_licence
"Bank Matthews Group
Customer Support: (907)588-1384x24790
http://www.brandt.info/
Account Holder: Tammie Mcintyre
Account Number: XXXX-XXXX-XXXX-1239
Statement Period: 1957-12

Date       Description              Debit ($)   Credit ($)
21/12/1957  Loan Repayment           353.01      
22/12/1957  POS Purchase             175.06      
10/12/1957  Check Deposit                        479.73
24/12/1957  POS Purchase             116.07      
20/12/1957  Check Deposit                        534.49
11/12/1957  ACH Payment              235.70      
23/12/1957  Loan Repayment           162.59      
14/12/1957  POS Purchase             114.18      
17/12/1957  Debit Card Purchase      649.19      
17/12/1957  Loan Repayment           587.21      
01/12/1957  Check Deposit                        103.21
04/12/1957  Direct Deposit                       545.59
13/12/1957  Online Transfer          698.63      
20/12/1957  Direct Deposit                       148.56
05/12/1957  ACH Payment              210.50      
25/12/1957  Loan Repayment           388.01      
05/12/1957  Direct Deposit                       656.19
27/12/1957  Loan Repayment           399.13      
28/12/1957  Loan Repayment           314.00      
08/12/1957  Direct Deposit                       394.86",bank_statement
"Hall-Smith INVOICE
Issue Date: 04 May 2025
Due Date: 03 June 2025
Invoice #: 1374
Billed To: Kaitlyn Hudson (Buchanan Inc)
DESCRIPTION QTY UNIT PRICE TOTAL
Social Media Banners      63    $967372.00   $60944436.00
Brand Guidelines PDF      100   $984835.00   $98483500.00
Logo Design               44    $673563.00   $29636772.00
Business Card Design      14    $912710.00   $12777940.00
Subtotal: $201842648.00
Tax (5%): $10092132.40
TOTAL: $211934780.40
Payment Info:
Bank Account: VYCQ37930794481955
Email: fgreene@garner-wilson.com
Phone: (780)677-6807x89155
Please make payment within 30 days.",invoice
"DRIVING LICENCE
1. THOMPSON
2. AMANDA
3. 20.01.1982 ENGLAND
4. 78-1669 3 Wheeler Only DVLA
5. THOMPSON ENG 65
6. Amanda
7. 545 Adams Views Apt. 028, North Anthony, DE 62625
8. 3 WHEELER ONLY",drivers_licence
"RHODE ISLAND DRIVER LICENSE
Name: Mary Robinson
DOB: 04/19/1996
License #: GR734882
Class: Commercial Vehicle
Issued by: Division of Motor Vehicles (DMV)
Address: 22160 Keith Oval, New Cheyenneville, NJ 62462",drivers_licence
"Bank Allen-Ortiz
Customer Support: +1-857-663-3994x7720
https://www.leonard.com/
Account Holder: Carlos Ward
Account Number: XXXX-XXXX-XXXX-8531
Statement Period: 1918-1

Date       Description              Debit ($)   Credit ($)
16/01/1918  Debit Card Purchase      383.47      
01/01/1918  Debit Card Purchase      84.72       
12/01/1918  Online Transfer          593.76      
28/01/1918  Online Transfer          600.86      
24/01/1918  Loan Repayment           635.40      
09/01/1918  Check Deposit                        206.12
11/01/1918  Online Transfer          443.74      
15/01/1918  Online Transfer          10.06       
25/01/1918  POS Purchase             331.06      
22/01/1918  Direct Deposit                       52.00
09/01/1918  Debit Card Purchase      466.74      
10/01/1918  Check Deposit                        26.71
08/01/1918  ACH Payment              193.41      
13/01/1918  Check Deposit                        140.92
13/01/1918  Debit Card Purchase      129.30      
13/01/1918  Online Transfer          142.66      
02/01/1918  Check Deposit                        114.89
02/01/1918  Direct Deposit                       85.18
02/01/1918  POS Purchase             200.77      
23/01/1918  Direct Deposit                       215.29",bank_statement
